DeviceName,Id,UserId
MHDK-MJ09AYVD,9d27e6d0-32ea-4f87-9ae8-5a861f4b9228,e93c45e2-935e-4f5d-9a0b-05e15c277a8f
MHDK-MJ09BAWA,d1b8227f-2349-4743-9218-0aab42fa4716,e93c45e2-935e-4f5d-9a0b-05e15c277a8f
MHDK-MJ0BGBA7,43dd2e17-d3a5-4b70-b1ca-81816498bebd,e93c45e2-935e-4f5d-9a0b-05e15c277a8f
MHDK-MJ0GM6B2,7658e64b-7553-4032-9cff-9c13cb4e1a17,e93c45e2-935e-4f5d-9a0b-05e15c277a8f
MHDK-MJ0H7XA8,6e52dd54-c625-4106-be66-86ebbf2cb8bb,e93c45e2-935e-4f5d-9a0b-05e15c277a8f
MHDK-MJ0H8MHA,2a6ba020-e3eb-47f6-ba0c-397a0879059c,e93c45e2-935e-4f5d-9a0b-05e15c277a8f
MHDK-MJ0HWYM9,849f3782-0d84-47b2-bfd5-bc64c86b8281,e93c45e2-935e-4f5d-9a0b-05e15c277a8f
MHDK-MJ0K2ERX,db1fe04d-53f9-403d-b909-91938486d35d,e93c45e2-935e-4f5d-9a0b-05e15c277a8f
MHD-MG00E1UV,da8560d2-2623-46c6-b25f-35876a37ee8c,c2e0bba7-eec8-47f7-bab5-5bf040d39500
MHD-MJ012PF6,acfc5141-2119-418b-943e-85fedd6d221c,f119655f-da23-4403-8cff-aa9e54233886
MHD-MJ0154LU,5d9e10b8-1d82-48a0-91a2-9b7d7d8c3c85,7b1e2d4b-775c-4b8c-a4ef-a5bb074541f4
MHD-MJ01H1VJ,d96f6b29-82f6-496d-8f60-7f5634a0291b,29c22047-8bd5-4f2a-90ac-a09917b07743
MHD-MJ01R0F4,2442220b-cf16-42be-92a7-5b7ba8e9e76c,31c17d5f-237d-4f1c-8913-6b683ab4d932
MHD-MJ021BV7,24283667-c462-4ef5-b82c-12505137f9f9,4713b5ba-c293-4e9a-bba6-f08fc1209bb5
MHD-MJ021BW4,a6a6b15d-4815-4d81-a4b5-3e1ac6cbdbd2,407716ea-a835-40cd-a5ed-5549e84586a1
MHD-MJ022HVM,7a7099e9-98cb-4200-a3ac-9cc4d521269e,dc72e0c9-19b6-44bf-8bfb-80a50eccc191
MHD-MJ0246F8,056ffa01-b7b5-4f39-8452-ee39506bf8d4,6784841c-b559-40da-85b0-4e3668bf4b39
MHD-MJ0247AL,10a612e8-b718-40b7-8523-7afc1d3b8908,3bbc7112-ca2e-4c49-9d38-bce82b104a6d
MHD-MJ0294KV,5d2a6528-726b-437d-990d-d9d473e8cf3d,8f879c19-3a76-4af9-9e06-7aae164e4fd5
MHD-MJ02AF3Z,42a33aa7-e4e9-4bdc-88c6-e0d6cc895f6c,b066dd4a-53ed-443b-985c-1dc636f6e827
MHD-MJ03DUUD,79b89451-6724-44eb-9221-c898f00e4b07,bad47087-07b2-448a-8224-feb6e1507352
MHD-MJ03FM34,d77242a0-a70e-4b88-8870-acc3e68e90e4,ecae2790-6609-4ffb-9c44-83c080fbc22b
MHD-MJ05Z39N,83a7ef5c-fc58-4208-9fc0-4215dc2474b4,ea05b274-ae3b-4bf2-9f23-4da9afa0de4b
MHD-MJ061C2S,a62c4033-1395-4bfb-9214-c50bc3f1d304,6487d395-a4ca-4934-b4cb-2a39c86c944d
MHD-MJ061C2V,45d4b387-6588-4664-8384-fcd96498792f,528eafda-da83-412a-b389-e6dc00aabe1a
MHD-MJ06235Q,c9cda959-c849-4133-9460-1479ed258e67,1debfc57-b550-4259-9238-f475e4072e1e
MHD-MJ0623HB,5c38dfd3-ec50-42ee-bbe7-52951d7245d4,ced8d040-803f-4d1b-a5cd-c7da4bb21bbf
MHD-MJ0623HU,f9a456d3-ea71-4eb3-9831-fd09aa676356,16095777-b495-4ebc-a188-6f11c31c8ad3
MHD-MJ0623JU,0c0597f1-91ca-41f0-8655-89b4300569d2,28d4fd6d-9097-4d8e-90bf-9f6e64f5cd8a
MHD-MJ0623K3,b90fd96a-25a5-4421-b0cd-f6390bdcd2db,2d64d55a-4a81-4fd1-a7b5-2ab6ea9858c6
MHD-MJ06GYVJ,b9957376-f357-45f2-81a7-60d23f01e98a,8c414108-ad81-4578-95e6-ca9c651126f3
MHD-MJ06GYVS,d9a64c0f-2140-4738-b01f-a8568f768463,8f41b8bc-636e-4112-b768-2059b400a695
MHD-MJ06GYVT,2cb13db6-8509-48e9-a44c-2d25d40601f8,21150f8c-91d1-4de6-86fe-306fe5e97fcb
MHD-MJ06KGW3,c191c27b-ebae-458f-8a12-53610db39b54,95e6f6db-bfdc-467e-b96f-2d7c95e512a1
